"User_id","Embeddings"
1433,"[1.8439     0.         0.         0.         0.34157136 1.786013
 0.         0.44943407 0.97972673 1.7711145  2.8615308  0.
 0.         0.         0.         0.         2.6984742  1.1048771
 2.7603073  1.8914129  3.1871452  1.389024   1.8042667  2.1611218
 1.1748085  2.4158454  2.6207721  0.         2.3449388  2.083293
 1.8890605  1.1166463 ]"
1448,"[1.430852   0.         0.         0.         1.8352504  1.0566154
 0.         1.4426283  2.5386953  1.1593239  1.029754   0.
 0.         0.         0.         0.         0.69566834 1.6417104
 1.9882303  1.4738506  2.3178127  1.0594962  1.4246409  1.1463236
 2.1804094  1.6077299  2.385828   0.         3.4136722  1.1932554
 1.631288   1.303098  ]"
1472,"[1.7258041  0.         0.         0.         1.6116511  3.3032072
 0.         1.6654692  0.39860544 2.3147376  1.8554122  0.
 0.         0.         0.         0.         2.4739637  0.97586703
 0.         1.4434755  0.9566377  1.2185781  2.404392   1.1812516
 1.487544   0.5118787  2.2574008  0.         1.8358122  1.7130872
 2.1874917  3.1870174 ]"
1474,"[2.8574414  0.         0.         0.         1.386334   0.9563129
 0.         1.8721647  0.62120205 1.8247908  2.6482506  0.
 0.         0.         0.         0.         2.5145304  1.5110537
 2.0746944  0.9266059  1.0474149  0.         3.0220938  0.
 2.0151312  1.7122717  1.6932675  0.         1.0683142  0.7188417
 0.96011883 2.3340187 ]"
1476,"[3.5321689  0.         0.         0.         2.118168   0.8100666
 0.         2.657963   2.3149815  1.8918467  0.83522487 0.
 0.         0.         0.         0.         1.0505811  1.2825859
 2.3085358  1.1010488  2.0154252  2.2595654  0.6540657  1.1721295
 1.4760128  1.5295774  1.0216203  0.         1.3273138  1.7573507
 1.6166345  0.6991751 ]"
1482,"[0.39210176 0.         0.         0.         0.56622994 1.3572946
 0.         1.6094528  2.5480456  1.6930327  2.1614485  0.
 0.         0.         0.         0.         1.2345786  2.729516
 0.         1.0964042  2.101593   2.1666064  1.4491733  0.8352851
 0.8669306  0.21078023 0.71921873 0.         1.4672902  1.6922834
 0.81619257 0.8734119 ]"
1516,"[2.6359875  0.         0.         0.         1.0924506  1.6588941
 0.         2.1412513  1.4929925  1.9208828  1.157532   0.
 0.         0.         0.         0.         2.1288486  1.5737536
 0.7749176  1.3203362  1.2593466  1.6065512  2.2754126  1.8986838
 0.99560714 0.8989182  2.40656    0.         1.0466409  1.5708594
 1.9858905  2.17858   ]"
1540,"[2.0195792  0.         0.         0.         2.21299    1.4571398
 0.         1.9087303  0.8376314  0.27104813 2.3007083  0.
 0.         0.         0.         0.         2.4337153  1.9240111
 1.9905322  1.974255   0.89912516 1.036334   2.1629608  1.7903501
 1.3406184  1.9956926  1.0754066  0.         1.4923413  2.1785266
 2.0878427  1.4895475 ]"
1564,"[2.6605728 0.        0.        0.        1.3187302 1.2665668 0.
 1.6651981 0.626607  1.158841  1.4931397 0.        0.        0.
 0.        0.        1.4740335 3.1033423 2.0344963 1.3665233 1.6152658
 1.575253  2.375671  1.427834  1.761842  1.2788593 1.6834439 0.
 1.7783301 1.7068175 0.5924264 2.8660648]"
1568,"[2.4990535  0.         0.         0.         1.5290599  1.1682043
 0.         1.8174732  1.494654   2.1724334  2.9238017  0.
 0.         0.         0.         0.         1.225447   1.7985039
 1.2871008  1.3904746  0.32552013 0.5229302  1.1767665  2.3204036
 0.         1.1976796  1.6394999  0.         2.3311892  0.9517697
 1.0097607  1.2023286 ]"
1577,"[1.4638397  0.         0.         0.         2.5928993  2.0298383
 0.         0.98362696 1.9356781  2.0119886  1.4431186  0.
 0.         0.         0.         0.         2.1241472  1.6958277
 3.4946442  2.0432696  1.862509   2.847545   2.6911805  1.267476
 0.7576392  1.2757918  1.2655344  0.         1.2148634  1.3801597
 1.60432    1.4410597 ]"
1587,"[2.2632449  0.         0.         0.         1.4575895  1.3799536
 0.         1.435914   2.2240295  0.4505877  2.3012931  0.
 0.         0.         0.         0.         1.7515733  0.93163836
 2.7077007  2.4277651  1.771156   1.1374147  1.3266143  1.5743951
 2.5426059  1.7830772  1.3585503  0.         0.87763613 1.1780306
 0.811214   1.7380055 ]"
1588,"[2.2633946  0.         0.         0.         2.081109   2.5639846
 0.         1.2577493  0.66600305 2.494773   1.5202584  0.
 0.         0.         0.         0.         1.6299798  1.9826958
 2.1942463  1.4279435  1.549003   2.2802598  1.84107    2.33078
 1.0648308  2.1501458  1.236505   0.         1.7163788  0.07120617
 1.3547361  2.0924149 ]"
1607,"[1.8827648 0.        0.        0.        0.6831683 1.1908915 0.
 1.7475681 2.3617282 1.5949584 2.656687  0.        0.        0.
 0.        0.        1.6533293 1.7019486 1.9875776 1.6891272 3.1773243
 2.908993  1.1857376 1.4465092 1.3458623 1.1015964 0.9075643 0.
 1.8101788 1.6370422 1.7707629 1.6031076]"
1629,"[1.1903875 0.        0.        0.        1.7516923 1.3163623 0.
 3.2740934 2.0885918 2.1612139 2.8982232 0.        0.        0.
 0.        0.        1.5604385 0.5729597 3.0724306 2.54138   1.1866634
 1.714711  2.8482802 3.1140547 2.312182  1.1786197 2.5906146 0.
 3.297304  3.55866   1.4377601 0.8374895]"
1632,"[2.286783  0.        0.        0.        2.4797864 1.4445492 0.
 0.2918759 3.094392  3.0939772 1.4286962 0.        0.        0.
 0.        0.        1.4253302 1.5785756 2.4685152 2.5543473 1.9747527
 1.4109374 1.3504899 3.0735025 1.9178476 1.6714889 3.1602159 0.
 3.0923667 2.48842   0.9779982 1.3876339]"
1636,"[0.896827   0.         0.         0.         1.4420444  2.7312114
 0.         2.9773662  3.0889776  0.17074428 3.3087811  0.
 0.         0.         0.         0.         1.4946331  1.2401665
 2.0639265  2.402798   1.9781939  0.9680959  1.6235318  2.4541438
 1.2593594  1.0006523  2.0742476  0.         2.4833155  1.9279065
 0.6740724  1.9806358 ]"
1640,"[1.5816407  0.         0.         0.         2.0508628  1.1407062
 0.         1.9343816  0.77390444 1.0564259  0.         0.
 0.         0.         0.         0.         1.6310608  1.241759
 1.7654047  2.187693   1.8656492  2.4182985  2.5307732  2.0726116
 2.0601761  0.49894342 1.6497024  0.         1.2145661  0.9352311
 1.2181047  1.5996063 ]"
1645,"[1.7910933  0.         0.         0.         1.9980087  1.5221268
 0.         2.2719367  2.8799126  0.47421798 1.1759212  0.
 0.         0.         0.         0.         1.7447892  1.6989006
 1.4159614  0.7421374  0.6937039  1.0724404  1.1756172  1.4962221
 0.5797494  2.1377265  1.020619   0.         1.5226878  0.70879805
 2.0377674  1.6889211 ]"
1665,"[1.8469839  0.         0.         0.         0.21449396 2.2767794
 0.         2.5133505  2.4274225  2.389839   0.91874033 0.
 0.         0.         0.         0.         1.6275063  2.6606238
 1.4626192  2.1022325  1.4459229  1.3297709  1.9106033  1.088087
 0.90697044 1.8626738  1.7137043  0.         0.6379183  1.1067517
 1.6834899  1.4295365 ]"
1666,"[0.43080404 0.         0.         0.         2.5561674  1.851513
 0.         3.0521214  1.5005904  1.1768152  2.833469   0.
 0.         0.         0.         0.         2.2546072  1.9909766
 1.92979    3.8453276  2.2495816  2.7040887  2.2026768  0.9113186
 1.718087   2.0054011  3.1483002  0.         3.3749456  1.3717912
 2.1767476  1.0929471 ]"
1675,"[0.40751687 0.         0.         0.         1.0690855  1.8828757
 0.         1.6817563  2.661792   1.8130555  0.7334692  0.
 0.         0.         0.         0.         0.7011466  2.0960877
 2.1563306  1.8873129  2.550691   1.682917   1.5769358  1.1519564
 1.0698673  1.2420225  0.6872597  0.         1.4555316  2.2389333
 3.1775997  1.9776642 ]"
1679,"[2.0002239  0.         0.         0.         1.6272565  2.2300866
 0.         1.6653588  1.868919   2.8512347  1.5213251  0.
 0.         0.         0.         0.         2.969051   1.4838173
 1.9212755  1.5333912  0.43400925 1.825598   1.3578695  1.8856792
 2.7246974  1.752231   1.904285   0.         1.7725568  1.229042
 0.         2.1535585 ]"
